text,label
Коли буде наступна пара з програмування?,0
Де знайти матеріали до лекції?,0
Який дедлайн здачі курсової?,0
Чи буде сьогодні заняття?,0
Хто веде наступну лекцію?,0
Як оформити звіт з практики?,0
Чи є конспект лекції?,0
Який формат екзамену?,0
Коли буде перездача?,0
Які питання будуть на тесті?,0
Чи потрібно робити презентацію?,0
Де здати лабораторну?,0
Який мінімальний бал для заліку?,0
Чи є додаткові бали?,0
Яка тема наступного заняття?,0
Як підготуватись до іспиту?,0
Чи можна здати роботу пізніше?,0
Який обсяг курсової?,0
Де взяти приклади коду?,0
Чи буде консультація?,0
Коли відкриється курс у Moodle?,0
Яка література обов’язкова?,0
Чи потрібно відвідувати всі пари?,0
Яка система оцінювання?,0
Чи складний цей предмет?,0
Хто вже здавав цей тест?,0
Чи буде автомат?,0
Як оформити список літератури?,0
Де знайти методичку?,0
Чи є приклади тестів?,0
Коли буде модуль?,0
Чи потрібно захищати роботу?,0
Який формат звіту?,0
Як працює Moodle?,0
Чи є онлайн лекції?,0
Яка тема курсової краща?,0
Чи можна працювати в групах?,0
Де знайти записи лекцій?,0
Який дедлайн практики?,0
Чи можна здати раніше?,0
Які вимоги до реферату?,0
Чи потрібен титульний лист?,0
Який формат презентації?,0
Чи буде додаткове заняття?,0
Як отримати доступ до курсу?,0
Чи можна переписати тест?,0
Яка тривалість екзамену?,0
Чи буде практика офлайн?,0
Коли буде результат тесту?,0
Чи потрібно робити звіт щотижня?,0
Дякую за допомогу!,0
Дуже вдячний!,0
"Доброго вечора! Чи буде можливість отримати консультацію перед здачею курсової роботи, тому що є кілька моментів, які хочеться уточнити, щоб уникнути помилок при фінальній перевірці.",0
"Вітаю! Хотів запитати, чи можна використовувати сторонні джерела при написанні теоретичної частини роботи, і як правильно їх оформлювати, щоб це відповідало вимогам.",0
"Добрий день! Я хотів уточнити, чи потрібно робити презентацію до захисту, і якщо так, то чи є вимоги до її структури або кількості слайдів.",0
"Підкажіть, будь ласка, як буде проходити оцінювання лабораторних робіт, чи є чіткі критерії, за якими виставляється бал, і чи можна десь з ними ознайомитись.",0
"Доброго дня! У мене виникло питання щодо дедлайну, бо не впевнений, чи правильно зрозумів дату здачі. Чи можна ще раз уточнити, коли потрібно здати роботу без втрати балів.",0
Куплю курсову недорого,1
Напишу диплом швидко і якісно,1
Роблю лабораторні на замовлення,1
Заробіток онлайн без вкладень,1
Підписуйтесь на канал,1
Продам готовий реферат,1
Допомога з домашніми роботами,1
Курсові під ключ дешево,1
Напишу код будь-якої складності,1
Сайт під ключ недорого,1
Виграй гроші просто зараз,1
Купи криптовалюту тут,1
Продам шпаргалки,1
Онлайн курси програмування,1
Репетитор з математики,1
Напишу лабу за 1 день,1
Продам доступ до бази тестів,1
Курси англійської зі знижкою,1
Реклама телеграм каналу,1
Пиши в приват,1
Купи курс зараз,1
Акція тільки сьогодні,1
Швидкий заробіток тут,1
Продам ноутбук дешево,1
Послуги програміста,1
Куплю аккаунт,1
Репетитор фізики онлайн,1
Продам проект,1
Курси QA тестування,1
Напишу диплом під ключ,1
Робота для студентів онлайн,1
Заробляй легко,1
Купи VPN дешево,1
Продам конспекти,1
Навчання Python онлайн,1
Знижка 50% на курси,1
Онлайн казино бонус,1
Реклама послуг дизайну,1
Купи доступ зараз,1
Курси фронтенду,1
Продам шпори,1
Напишу реферат,1
Репетитор програмування,1
Заробіток без досвіду,1
Купи курс дешево,1
Онлайн допомога студентам,1
Продам базу відповідей,1
Реклама фрілансу,1
Купи зараз,1
Пиши для деталей,1
Спам спам спам!,1
Спам спам спам спам спам спам!,1
"🔥 Хочеш закрити всі предмети без зайвого стресу? Ми пропонуємо виконання курсових, дипломних і лабораторних робіт будь-якої складності з гарантією результату. Просто напиши нам і отримай готову роботу вже найближчим часом.",1
"Не витрачай свій час на складні завдання, коли можна отримати готове рішення. Ми швидко і якісно виконаємо будь-яку роботу, щоб ти міг спокійно займатись своїми справами і не переживати за оцінки.",1
"📢 Спеціальна пропозиція для студентів: допоможемо скласти екзамени і тести без підготовки. У нас є готові відповіді та перевірені рішення, які допоможуть отримати високий бал.",1
"🚀 Отримай готову курсову або дипломну роботу всього за кілька днів. Наші спеціалісти гарантують якість і відповідність усім вимогам викладачів.",1
"💸 Хочеш швидко заробити гроші онлайн без досвіду? Приєднуйся до нашої команди і почни заробляти вже сьогодні прямо зі свого телефону.",1
