text,label
"Я вважаю, що ця пара з програмування була просто просто кайф.",0
Де шукати професор після пар?,1
"Добрий. Не очікував, що документи зроблять так ідеально. Дякую!",0
"Як на мене, нам потрібно більше інформації про документи.",1
"Я вважаю, що було б добре перенести пару з економіки зараз.",1
Коли буде пара з права під час сесії?,1
"Клас, керівник практики поставив автомат з права. Респект вам.",0
"Як на мене, сьогоднішній день просто просто кайф. Чудово.",0
"Дякую, що допомогли відправити залік. Респект вам.",0
"Добрий день. Я ненавиджу цей турнікет, він постійно не працює!",2
"Агов! Я просто мене кумарить, коли викладач з охорони праці так робить.",2
А наш препод з історії буде після пар?,1
"Добрий день. Я просто терпіти не можу, коли професор з економіки так робить.",2
"Вітаю. Як на мене, сервер зараз працює круто, це просто любов!",0
Вітаю. У кого можна скинути квитанцію про оплату?,1
"Я просто мені дуже подобається, коли все працює якісно.",0
"Доброго вечора! Я просто замахало, коли викладач з права так робить.",2
"Коротше кажучи, я не знаю, як скинути дипломну роботу.",1
"Дякую, що допомогли завантажити договір. Молодці.",0
Доброго дня! Де знаходиться кабінет заввідділенням?,1
Добрий. У кого можна проконсультуватися студентський?,1
"Ей, Чому зі мною так розмовляли в деканаті? Ви там взагалі здуріли?",2
"Чесно кажучи, сьогоднішній день просто імба. Клас.",0
"Якщо чесно, мені здається, що новий турнікет — просто кайф.",0
"Треба замовити звіт по практиці, підкажіть куди йти.",1
Опалення в бухгалтерії знову наїбнувся. Задрали.,2
Опалення в лабораторії знову постійно падає. Жах.,2
Вітаю. Скільки ще чекати на курсову на кафедрі? Це це треш.,2
Вітаю. Чи працює деканат завтра зранку?,1
Знову портал лагає. Відстій.,2
Доброго дня! Я просто я в захваті від пари з веб-розробки!,0
Добрий. Коли буде пара з англійської в понеділок?,1
Вітаю. Я просто обожнюю пари з фізри!,0
"Доброго дня! Не можу здати звіт по практиці, бо система лежить. Це жах.",2
"Загалом, все було найкраща, Щиро дякую!",0
"Вітаю. Якщо чесно, особистий кабінет зараз працює чудово, це відвал башки!",0
"Мені здається, що наш декан з англійської — годнота.",0
"Добрий. Не очікував, що звіт по практиці зроблять так оперативно. Дякую!",0
Доброго вечора! Чи працює деканат на вихідних?,1
"Ей, Як знайти когось на кафедрі на вихідних?",1
"Ей, Оцінка по диплому вже є. Щиро дякую!",0
"Клас, заввідділенням поставив автомат з архітектури ПК. Чудово.",0
"Я вважаю, що ця пара з англійської була просто пушка.",0
"Доброго дня! Треба скинути практику, підкажіть куди йти.",1
А куратор з фізри буде завтра?,1
"Я вважаю, що працювати в бібліотеці просто неможливо, постійно все видає помилку.",2
"Мені здається, що нам потрібно більше інформації про виписку.",1
"Ей, Чи буде сьогодні працювати Google Classroom?",1
Опалення в аудиторії знову не працює. Заїбали.,2
"Коротше кажучи, умови в деканаті — це просто хуйня повна.",2
"Треба замовити курсову, підкажіть куди йти.",1
Довго ще декан буде знущатися на парі з БД? Блять.,2
"Я просто ненавиджу, коли професор з БД так робить.",2
Я просто обожнюю пари з архітектури ПК!,0
Довго ще лаборант буде знущатися на парі з архітектури ПК? Йоб твою мать.,2
"Вітаю. Я ненавиджу цей ЕДЕБО, він постійно зависає!",2
Добрий день. Виправте негайно ситуацію в деканаті! Зробіть вже нормально нарешті.,2
"Привіт. Не очікував, що звіт по практиці зроблять так швидко. Величезне дякую!",0
Умови в аудиторії — це просто це параша.,2
Довго ще керівник практики буде знущатися на парі з архітектури ПК? Йоб твою мать.,2
А методист з комп'ютерних мереж буде завтра?,1
Добрий. Мене звати Анна.,1
"Загалом, я не знаю, як скинути документи.",1
Агов! Чому знову комп'ютери в аудиторії висне? Я розчарований.,2
Сьогоднішній день просто імба. Круто!,0
Чи можна перездати з англійської на першій парі?,1
Опалення в медпункті знову висне. Йобаний стид.,2
Привіт. Скільки ще чекати на практику в бухгалтерії? Це це треш.,2
"Дякую, що допомогли проконсультуватися дипломну роботу. Клас.",0
"Мені здається, що це найгірша пара з економіки підприємства за весь час.",2
Да пішли ви.,2
Привіт. Скільки ще чекати на договір в читальному залі? Це повний капець.,2
"Коротше кажучи, мені здається, що новий wifi в універі — імба.",0
"Якщо чесно, сьогоднішній день просто годнота. Молодці.",0
"Коротше кажучи, нам потрібно більше інформації про практику.",1
"Загалом, працювати в гуртожитку просто неможливо, постійно все глючить.",2
Привіт. Щиро дякую за оперативно вирішену проблему в бухгалтерії.,0
Агов! Підкажіть графік роботи в їдальні.,1
Розклад після пар складений просто це треш.,2
"Ей, Дякую за оперативно вирішену проблему на кафедрі.",0
Чому зі мною так розмовляли в бібліотеці? Ви там взагалі здуріли?,2
Знову чат-бот постійно падає. Йобаний стид.,2
"Я мене бісить цей wifi в універі, він постійно постійно падає!",2
