text,label
Хочу поскаржитись на викладача з математики — він постійно запізнюється на 20-30 хвилин,0
НИККАІІЮЧОБР,1
ШФ2МЄ:2Щ:ХЩЩ9ЧГ!!??,1
прошу розглянути скаргу на незаконне заселення сторонніх у гуртожиток,0
"підкажіть, хто відповідає за розклад іспитів?",0
"Ліфт у гуртожитку не працює вже два тижні, незручно студентам з інвалідністю",0
ну ну всі дебіли тут абсолютно!,1
чи є можливість перевестися на заочну форму навчання?,0
"ви дочекаєтесь, бовдури!",1
ПОКИДЬКИ ПЛЮС НІКЧЕМИ ПЛЮС КРЕТИНИ ПЛЮС ОЛУХИ...,1
"Як дізнатися результати іспиту, якщо їх досі не виставили в журнал?",0
хахаха...,1
Йдіть а також дебіли...!,1
Викладач не відповідає на запитання студентів і одразу знижує оцінку за незнання,0
"ну ну ВСІ ВИ ПРИДУРКИ, ЦЕ ВАМ ТАК НЕ ЗІЙДЕ",1
"хочу дізнатися, де знаходиться 305 аудиторія",0
"У нашій кімнаті в гуртожитку тече дах, комендант ігнорує звернення, прошу допомогти!",0
"Вибачте що турбую, але не знаю до кого ще звернутися з цим питанням",0
Тупари плюс кретини! Ось так.,1
самі дурні навчають дурних,1
"я не можу зосередитися на навчанні через умови в гуртожитку, прошу допомогти",0
"Деканат не видає довідку про навчання вже два тижні, постійно відмовляють!",0
"У нашій кімнаті в гуртожитку тече дах, комендант ігнорує звернення",0
де знаходиться студентська профспілка і як вона може допомогти?,0
Адміністрація не надає інформацію про графік перескладання,0
НТЧЯ  НТЧЯ  НТЧЯ  НТЧЯ  НТЧЯ,1
Прошу розібрати ситуацію: викладач не зараховує лабораторні без пояснення причини,0
"я вам покажу де раки зимують, дебіли",1
Хочу поскаржитись на неправомірне відрахування зі списку студентів,0
Прошу розглянути скаргу: викладач з програмування вимагає гроші за здачу заліку!,0
хочу записатися на прийом до ректора,0
Чи можна отримати копію залікової книжки?!,0
"Викладач не відповідає на запитання студентів і одразу знижує оцінку за незнання, будь ласка",0
Скільки пропусків допускається до заліку?,0
У гуртожитку відсутнє освітлення на третьому поверсі,0
Прошу розглянути скаргу: викладач з програмування вимагає гроші за здачу заліку,0
бцзлж зкьєш ябзикь гвчрнш нщ,1
нннн ненавиджу всіх нннн!!??,1
"прошу не ігнорувати мою скаргу, я вже зверталась до куратора і нічого не змінилось, будь ласка",0
Викладач з математики пояснює тему лише один раз і відмовляється повторювати!,0
На парі з правознавства викладач обговорює особисте життя студентів,0
У навчальному корпусі дуже холодно взимку — система опалення не справляється,0
Безмозкі і ще ідіоти і ще бездари і ще незграби! Все!,1
БЕЗДАРНОСТІ ПЛЮС ТУПНЯКИ! ОСЬ ТАК.???,1
Принтер у студентському центрі не працює вже третій день,0
коли починається запис на курсові роботи цього семестру?!,0
"У 301 аудиторії не працює проєктор, викладач не може показувати матеріал",0
і що далі що ти зробиш!!??,1
Як можна отримати рекомендаційний лист від викладача?,0
Викладач з математики пояснює тему лише один раз і відмовляється повторювати,0
Хочу поскаржитись на неправомірне відрахування зі списку студентів,0
коли починається запис на курсові роботи цього семестру?,0
хаха хаха хаха хаха хаха,1
"у 301 аудиторії не працює проєктор, викладач не може показувати матеріал",0
"викладач грубить студентам, які задають запитання під час лекції, будь ласка",0
"ВИ ЩЕ ПОЧУЄТЕ ПРО МЕНЕ, ЖЛОБИ!!!!",1
"Комендант гуртожитку грубить студентам і погрожує виселенням без підстав, дякую",0
е е е ґьда  ґьда  ґьда  ґьда,1
"5КУ?С?-О9,У5І",1
Прошу розглянути: студентів виселяють з гуртожитку без попередження,0
йцукенгшщзх,1
"Викладач з економіки не пускає на іспит без особистого підпису куратора, якого немає",0
"викладач з інформатики не пояснює матеріал, просто читає з книги вголос!",0
ну ну ОТ ВАУ ВАУ ОТ,1
як можна отримати рекомендаційний лист від викладача?,0
наш викладач спізнюється на кожну пару мінімум на 15 хвилин,0
Тупі плюс лузери плюс кретини плюс покидьки!!,1
Чи можу я самостійно обрати тему дипломної роботи?,0
де можна отримати довідку про місце навчання для соціальних служб?,0
ХМ ХМ ХМ І ВСЕ!!!,1
"Прошу терміново втрутитися, ситуація критична — мене можуть відрахувати через помилку",0
"НАБРИДЛО ВСЕ, ВИ ЩЕ МЕНЕ ЗАПАМ'ЯТАЄТЕ!",1
е е е ХМЯДЄІЦФОЩДЦШБЦКЙСКЄВ,1
Де знайти шаблон заяви на академічну відпустку?,0
Хочу поскаржитись на неправомірне відрахування зі списку студентів!,0
ПРИВІТ ПРИВІТ ПРИВІТ ПРИВІТ ПРИВІТ,1
"Підкажіть, чи є можливість складати іспити достроково?",0
"Я не знаю що робити, мене несправедливо відрахували, будь ласка допоможіть",0
комендант не дозволяє залишати ноутбук у кімнаті на канікулах — це законно?,0
"прошу пояснити, чому мені не нарахували стипендію цього місяця",0
покидьки зібралися в одному місці,1
НЕЗГРАБИ І ТУПНЯКИ І БОВДУРИ І ТУПІ!!,1
ьоазїїцчбякрьвґшблцївпнзйяцгівсгкбнґйнач,1
Викладач дозволяє собі образливі коментарі щодо зовнішності студентів!,0
"У душовій гуртожитку зламані замки, прошу відремонтувати",0
"Що робити, якщо пропустив іспит через хворобу?",0
Прошу перевірити умови проживання в кімнаті 214 — там є плісень на стінах,0
ну ну Кретини і ще незграби і ще ідіоти! Все!???,1
"Ліфт у гуртожитку не працює вже два тижні, незручно студентам з інвалідністю",0
"хочу поскаржитись на неправомірне відрахування зі списку студентів, будь ласка",0
"Підкажіть, як подати заяву на перескладання іспиту з вищої математики?!",0
це несправедливо і я хочу щоб хтось нарешті розібрався з цим,0
Коли починається запис на курсові роботи цього семестру?,0
Дурні і ще ідіоти і ще тупари і ще йдіть......,1
!!!!!!!!!!!!!!!!!!!!??,1
"Де можна роздрукувати матеріали до захисту курсової?, дякую",0
"Викладач з інформатики не пояснює матеріал, просто читає з книги вголос, дякую",0
"Прошу оновити програмне забезпечення в комп'ютерному класі, воно застаріле",0
БЛА БЛА БЛА НІКОМУ НЕ ПОТРІБНО БЛА БЛА,1
Хочу записатися на прийом до ректора,0
е е е ойойой!,1
Прошу встановити більше розеток в аудиторії 210 для заряджання ноутбуків,0
Я ВАМ ПОКАЖУ! НАБРИДЛО ВСЕ!!!??,1
агагага!,1
аавввгггддд!!??,1
"Що робити, якщо пропустив іспит через хворобу?",0
хто грає у футбол сьогодні ввечері,1
наш викладач спізнюється на кожну пару мінімум на 15 хвилин,0
вам це так не мине! набридло все!...,1
??????????????????,1
"ГОТУЙТЕСЬ, Я НЕ ТАКИЙ ЯК ВСІ СТУДЕНТИ",1
"лектор читає лекції зі старих слайдів 2010 року, матеріал застарілий!",0
"дочекаєтесь від мене, ще побачите???",1
"Прошу замінити лампи в коридорі другого поверху, там темно",0
"У нашій кімнаті в гуртожитку тече дах, комендант ігнорує звернення",0
Коли починається запис на курсові роботи цього семестру?,0
"Не знаю чи правильно пишу сюди, але хочу поскаржитися на умови навчання",0
всі дебіли тут абсолютно,1
Тупі а також провалюйтесь а також дурні а також дебіли!!,1
ну нннн ну!,1
"ВИ ЩЕ МЕНЕ ЗАПАМ'ЯТАЄТЕ, ДУРНІ!!!!",1
Де можна отримати студентський квиток?,0
Хочу подати скаргу: викладач з хімії принижує студентів перед аудиторією,0
"Підкажіть, чи є можливість складати іспити достроково?",0
Кретини та придурки та бездарності та тупари! Зрозуміли?,1
"деканат не видає довідку про навчання вже два тижні, постійно відмовляють",0
Викладач не відповідає на запитання студентів і одразу знижує оцінку за незнання,0
"Прошу відремонтувати парти в аудиторії 305, частина з них зламана, дякую",0
ЙДІТЬ А ТАКОЖ ПРИДУРКИ А ТАКОЖ ПОКИДЬКИ!!???,1
Це несправедливо і я хочу щоб хтось нарешті розібрався з цим,0
ТРА-ЛЯ-ЛЯ!,1
"Прошу пояснити, за якою підставою з мене стягують додаткову плату за гуртожиток",0
"я вам покажу де раки зимують, дебіли",1
О котрій відчиняється бібліотека?,0
Наш викладач спізнюється на кожну пару мінімум на 15 хвилин,0
"...!,!.!,?,..,,!",1
Незграби і ще тупари і ще олухи і ще недоумки! Все!!!??,1
"Я не можу зосередитися на навчанні через умови в гуртожитку, прошу допомогти",0
Як можна отримати рекомендаційний лист від викладача?,0
прошу вирішити: в гуртожитку немає гарячої води вже 10 днів,0
Як оформити академічну відпустку за станом здоров'я?,0
йоу йоу!!!,1
о о о о о о о о о о о,1
Коли буде наступна нарада студентського самоврядування?,0
Прошу пояснити порядок відновлення після академічної відпустки,0
Коли буде наступна нарада студентського самоврядування?,0
е е е Нікчеми та йдіть та тупари...,1
е е е ЦЕ ВЗАГАЛІ ЩОСЬ ЧИТАЄ ЧИ НІ,1
це взагалі щось читає чи ні,1
коли буде наступна нарада студентського самоврядування?,0
хахаха дебіли управляють коледжем хаха,1
всі ви однакові! Придурки!,1
ну ну QWERTY ASDFGH ZXCVBN!!!,1
я знайду на вас управу! ненавиджу тут все!,1
"Що робити, якщо пропустив іспит через хворобу?",0
їїїїїїїїїїїї!!!,1
"?!!!!,..,!?.?,!,.!!??",1
пнрщмп євшх ичжфсо пшт ехбмлс яйсгщч яршя,1
да-да-да і все,1
У гуртожитку відсутнє освітлення на третьому поверсі,0
ну ну ідіоти управляють цим закладом...,1
Де здають документи для оформлення стипендії?,0
РХФК  РХФК  РХФК,1
Наш викладач спізнюється на кожну пару мінімум на 15 хвилин,0
прошу розглянути питання щодо неправомірного стягнення плати за навчання,0
"прошу пояснити, за якою підставою з мене стягують додаткову плату за гуртожиток!",0
НУ І ЩО НУ І ЩО НУ І ЩО...,1
Коли будуть відомі дати сесії на наступний семестр?,0
Де знайти шаблон заяви на академічну відпустку?,0
Прошу розглянути питання щодо неправомірного стягнення плати за навчання,0
ну ну Лузери а також незграби!!...,1
Чи можна отримати копію залікової книжки?,0
"я не залишу це просто так, недоумки!",1
агагага!,1
"Викладач грубить студентам, які задають запитання під час лекції",0
"ХОЧУ ЩОБ ВСЕ ГОРІЛО, ОСЬ ПОБАЧИТЕ ЩО БУДЕ!!!!",1
"Прошу допомогти: у розкладі помилка, нас відправили в неіснуючу аудиторію",0
м0х5сієіе!тфвляшґа0!!??,1
ХЕЛЛО ВОРЛД ЦЕ ТЕСТ ПОВІДОМЛЕННЯ!,1
"Лектор читає лекції зі старих слайдів 2010 року, матеріал застарілий",0
Як дізнатися свій номер студентського квитка?,0
Кретини плюс недоумки! Зрозуміли?,1
"Добрий день, підкажіть розклад на цей тиждень",0
ну ну скучно на парі тому пишу сюди,1
"Де можна роздрукувати матеріали до захисту курсової?, будь ласка",0
"мені соромно, але я мушу поскаржитися на поведінку одногрупників, будь ласка",0
як оформити академічну відпустку за станом здоров'я?,0
"Прошу терміново втрутитися, ситуація критична — мене можуть відрахувати через помилку",0
це вам так не зійде! все це лайно!,1
"У їдальні закінчуються страви о 12:00, більшість студентів залишаються без обіду",0
"Підкажіть, хто відповідає за розклад іспитів?, прошу допомогти",0
ААААА ВСЕ НАБРИДЛО ІДІОТИ!!!,1
Недоумки — ви про це пожалкуєте,1
"ну ну я знаю всіх вас, будьте готові до наслідків!",1
Як оформити академічну відпустку за станом здоров'я?,0
АГАГАГА АГАГАГА!!!,1
лузери і невдахи всі тут,1
Недоумки та дурні та дебіли та бовдури! Все!!,1
Бездарності і тупі і лузери!,1
Підкажіть номер телефону медпункту,0
ТРА-ЛЯ-ЛЯ!!,1
у туалеті на другому поверсі не працює вентиляція вже два тижні,0
??????????????????,1
"це вже третє звернення, ніхто не реагує на проблему в гуртожитку",0
"Хочу дізнатися, де знаходиться 305 аудиторія",0
Хочу поскаржитись на викладача з математики — він постійно запізнюється на 20-30 хвилин,0
"у комп'ютерному класі не працює половина комп'ютерів, неможливо виконувати лабораторні",0
е е е БЕЗДАРИ А ТАКОЖ ЛУЗЕРИ А ТАКОЖ ТУПАРИ А ТАКОЖ ПОКИДЬКИ!!...,1
Викладач не відповідає на запитання студентів і одразу знижує оцінку за незнання,0
Як оформити академічну відпустку за станом здоров'я?,0
ПРОСТО ПЕРЕВІРЯЮ ЧИ ПРАЦЮЄ ЦЕЙ БОТ!!??,1
"Як можна отримати рекомендаційний лист від викладача?, прошу допомогти!",0
БЛА БЛА БЛА,1
Коли будуть відомі дати сесії на наступний семестр?,0
"У 301 аудиторії не працює проєктор, викладач не може показувати матеріал!",0
Як оформити академічну відпустку за станом здоров'я?!,0
Ідіоти та безмозкі та лузери та бовдури! Ось так.,1
"Підкажіть, чи є можливість складати іспити достроково?",0
хтось живий тут взагалі,1
ну ну сьогодні хороша погода!!!,1
ячсмитьбю!,1
"ви ще мене запам'ятаєте, бовдури!",1
"скарга: у гуртожитку вже тиждень не працює опалення, дуже холодно",0
ну ну от хей хей от,1
"як дізнатися результати іспиту, якщо їх досі не виставили в журнал?",0
коли буде наступна нарада студентського самоврядування?,0
Де можна отримати студентський квиток?,0
Наш куратор ігнорує запитання на парах і говорить «самі розбирайтеся»,0
"ненавиджу цей коледж, ідіть всі геть",1
"е е е ГОТУЙТЕСЬ ДО НАСЛІДКІВ, ДУРНІ!",1
Прошу розібрати ситуацію: викладач не зараховує лабораторні без пояснення причини,0
Скільки пропусків допускається до заліку?,0
"У комп'ютерному класі не працює половина комп'ютерів, неможливо виконувати лабораторні",0
"Викладач з інформатики не пояснює матеріал, просто читає з книги вголос, будь ласка",0
"Прошу розглянути скаргу: викладач з програмування вимагає гроші за здачу заліку, прошу допомогти",0
"Я не знаю що робити, мене несправедливо відрахували, будь ласка допоможіть",0
Бездарності плюс дурні...,1
Викладач з математики пояснює тему лише один раз і відмовляється повторювати,0
"всі ви тупі, це вам так не зійде",1
"Розумію що у вас багато звернень, але моя ситуація дійсно потребує допомоги",0
"У комп'ютерному класі не працює половина комп'ютерів, неможливо виконувати лабораторні",0
робіть що хочете мені байдуже,1
"всі ви дебіли, ви дочекаєтесь",1
Викладач з іноземної мови вимагає дорогі підручники тільки від конкретного видавництва,0
"у їдальні закінчуються страви о 12:00, більшість студентів залишаються без обіду",0
Безмозкі і покидьки і лузери!,1
у туалеті на другому поверсі не працює вентиляція вже два тижні,0
"Прошу оновити програмне забезпечення в комп'ютерному класі, воно застаріле!",0
Тупари та бездари...,1
е е е ок ок ок ок ок ок ок,1
"У їдальні закінчуються страви о 12:00, більшість студентів залишаються без обіду",0
МЕНІ ВСЕ ОДНО НА ВАШІ ПРАВИЛА,1
ДИВИВСЯ ФІЛЬМ УСЮ НІЧ КЛАСНИЙ БУВ,1
"жах жахливий, я напишу скрізь про вас!",1
е е е ВСІ ВИ ОДНАКОВІ! ЖЛОБИ!,1
Де знаходиться студентська профспілка і як вона може допомогти?,0
"Мені не виписали студентський квиток, хоча навчаюсь вже три місяці!",0
е е е Олухи а також провалюйтесь а також ідіоти а також покидьки!,1
О котрій відчиняється бібліотека?,0
"У їдальні закінчуються страви о 12:00, більшість студентів залишаються без обіду",0
Комендант гуртожитку грубить студентам і погрожує виселенням без підстав,0
СЬОГОДНІ ХОРОША ПОГОДА,1
і що далі що ти зробиш!,1
Коли починається запис на курсові роботи цього семестру?,0
!!!???!!!???,1
Викладач з математики пояснює тему лише один раз і відмовляється повторювати!,0
Я вже кілька разів намагався вирішити це питання і щоразу мене відправляють далі,0
НУ ХЕЙ ХЕЙ НУ,1
Де можна роздрукувати матеріали до захисту курсової?,0
"Підкажіть, хто відповідає за розклад іспитів?",0
"У їдальні закінчуються страви о 12:00, більшість студентів залишаються без обіду",0
Де можна отримати студентський квиток?,0
"ВИ ДОЧЕКАЄТЕСЬ, ТУПІ!",1
",?!?.??!",1
Коли починається запис на курсові роботи цього семестру?,0
ПРИДУРКИ І КРЕТИНИ І ДУРНІ І НЕЗГРАБИ! ВСЕ!,1
КРЕТИНИ ПЛЮС БОВДУРИ ПЛЮС ДЕБІЛИ!,1
Е НУ І ЩО ТУПНЯКИ Е НУ І ЩО...,1
",!,!,!!??",1
це несправедливо і я хочу щоб хтось нарешті розібрався з цим,0
ну ну е ну і що тупняки е ну і що,1
"скарга: у гуртожитку вже тиждень не працює опалення, дуже холодно",0
абвгдеєжзиіїйклмнопрстуфхцчшщьюя,1
"всі ви бездари, ви ще мене запам'ятаєте",1
"я знаю всіх вас, будьте готові до наслідків",1
ХКЬУ  ХКЬУ  ХКЬУ  ХКЬУ  ХКЬУ  ХКЬУ,1
уууу уууу,1
а що ти мені зробиш а!,1
чузф  чузф  чузф,1
"У душовій гуртожитку зламані замки, прошу відремонтувати, дякую",0
Це несправедливо і я хочу щоб хтось нарешті розібрався з цим,0
ну ну сьогодні хороша погода,1
"БІЛЬШЕ НЕ ПРИЙДУ, Я ЗНАЙДУ НА ВАС УПРАВУ!",1
Це несправедливо і я хочу щоб хтось нарешті розібрався з цим,0
Хочу записатися на прийом до ректора,0
Чи є можливість перевестися на заочну форму навчання?,0
"прошу пояснити, за якою підставою з мене стягують додаткову плату за гуртожиток",0
як оскаржити оцінку з іспиту офіційно?,0
е е е сьогодні хороша погода???,1
ну ну ок ок ок ок ок ок ок???,1
"підкажіть, чи є можливість складати іспити достроково?",0
Жлоби і ще безмозкі і ще придурки і ще ідіоти! Ось так.!!??,1
ла-ла-ла і все...,1
Як зв'язатися з деканом?,0
"ну ну плювати я хотів, попереджаю востаннє!",1
Де можна отримати студентський квиток?,0
"всі тут тупі, вам треба закритися!!!",1
!!!???!!!???,1
Чи можу я самостійно обрати тему дипломної роботи?,0
"Мені соромно, але я мушу поскаржитися на поведінку одногрупників",0
е е е Безмозкі та ідіоти та бездарності! Зрозуміли?,1
"прошу відремонтувати парти в аудиторії 305, частина з них зламана",0
"всі ви жлоби, вам це так не мине",1
ну ееееє ну,1
Яка процедура поновлення після відрахування?!,0
"все це лайно, я вам покажу!",1
Викладач не відповідає на запитання студентів і одразу знижує оцінку за незнання,0
Викладач дозволяє собі образливі коментарі щодо зовнішності студентів,0
НУ ААААА НУ!!??,1
прошу розібрати ситуацію: викладач не зараховує лабораторні без пояснення причини,0
Хочу оскаржити оцінку на іспиті — вважаю що перевірка була несправедливою,0
прошу розглянути скаргу на упереджене ставлення викладача до нашої групи,0
"Деканат не видає довідку про навчання вже два тижні, постійно відмовляють",0
"Я не можу зосередитися на навчанні через умови в гуртожитку, прошу допомогти",0
"що робити, якщо пропустив іспит через хворобу?",0
"Підкажіть, хто відповідає за розклад іспитів?",0
"У 301 аудиторії не працює проєктор, викладач не може показувати матеріал",0
Де подати заяву на підвищену стипендію?,0
"хочу щоб все горіло, ви ще почуєте про мене!",1
от ок ок ок от...,1
"е е е жах жахливий, ви дочекаєтесь!???",1
е е е от уууу от,1
"Прошу терміново втрутитися, ситуація критична — мене можуть відрахувати через помилку",0
"е е е ОСЬ ПОБАЧИТЕ ЩО Я ЗРОБЛЮ, ЗАПАМ'ЯТАЄТЕ МЕНЕ",1
викладач з математики пояснює тему лише один раз і відмовляється повторювати,0
Е-Е-Е!,1
"Як дізнатися результати іспиту, якщо їх досі не виставили в журнал?",0
млчф  млчф  млчф,1
хєиел дзьацр шх зи лбу!,1
всі дебіли тут абсолютно???,1
скучно на парі тому пишу сюди,1
щлцур ґжжґж бцй,1
Чи надається знижка на проїзд для студентів денної форми навчання?,0
Прошу перевірити ситуацію: викладач виставив оцінку без проведення іспиту,0
всі ви однакові! Жлоби!,1
"ось побачите що я зроблю, запам'ятаєте мене",1
"Мені дуже важко, викладач постійно мене виділяє і принижує перед групою",0
зупиніться інакше буде погано,1
Адміністрація не відповідає на звернення щодо переведення на іншу спеціальність,0
е е е ШПШШДЯЛШНЛМТВХЯРЙЯВХ,1
ну ну фп жавф яюш ьлррфх хпєч йоі зч???,1
Прошу розглянути скаргу: викладач з програмування вимагає гроші за здачу заліку,0
ПОПЕРЕДЖАЮ ВОСТАННЄ! НАЙГІРШЕ МІСЦЕ!,1
"я вам покажу де раки зимують, дебіли...",1
"вибачте що турбую, але не знаю до кого ще звернутися з цим питанням",0
Чи можу я самостійно обрати тему дипломної роботи?,0
Тупі а також нікчеми а також безмозкі а також дебіли! Ось так.!!!,1
ок ок ок!,1
ХТО ГРАЄ У ФУТБОЛ СЬОГОДНІ ВВЕЧЕРІ!!??,1
Тупняки плюс придурки плюс провалюйтесь плюс покидьки! Ось так.,1
Комендант не дозволяє залишати ноутбук у кімнаті на канікулах — це законно?!,0
Адміністрація не реагує на колективне звернення нашої групи!,0
"Хочу дізнатися, де знаходиться 305 аудиторія",0
ну ну 123456789 абвгдеєжз...,1
"Прошу поставитися до мого звернення серйозно, мені справді потрібна допомога",0
"добрий день, підкажіть розклад на цей тиждень",0
яка процедура переведення з однієї групи до іншої?,0
Ідіоти та незграби...!,1
Чи можна отримати копію залікової книжки?!,0
ЩХАУ  ЩХАУ  ЩХАУ  ЩХАУ  ЩХАУ  ЩХАУ  ???,1
Деканат відмовляється приймати заяву про зміну форми навчання,0
"всі ви йдіть, ви дочекаєтесь",1
е е е да да да да да да да да да да да да да да да да,1
О котрій відчиняється бібліотека?,0
"мені дуже важко, викладач постійно мене виділяє і принижує перед групою, дякую",0
Де здають документи для оформлення стипендії?,0
коли будуть відомі дати сесії на наступний семестр?,0
"Викладач з фізики ставить незадовільні оцінки без пояснень, це несправедливо",0
На парі з правознавства викладач обговорює особисте життя студентів,0
от ааааа от,1
І ЩО ДАЛІ ЩО ТИ ЗРОБИШ,1
бла бла бла нікому не потрібно бла бла!!??,1
Яка процедура переведення з однієї групи до іншої?,0
"Як дізнатися результати іспиту, якщо їх досі не виставили в журнал?",0
Чи можу я самостійно обрати тему дипломної роботи?,0
ОЛУХИ ТА ДЕБІЛИ! ОСЬ ТАК.,1
"Викладач з інформатики не пояснює матеріал, просто читає з книги вголос",0
всі дебіли тут абсолютно,1
"У 301 аудиторії не працює проєктор, викладач не може показувати матеріал",0
НУ І ЩО НУ І ЩО НУ І ЩО,1
"Викладач з фізики ставить незадовільні оцінки без пояснень, це несправедливо",0
9би?нл:уа?5пшцт?дє9;яч9ґсцна6!!??,1
"Wi-Fi у бібліотеці працює дуже повільно, неможливо користуватися навчальними ресурсами",0
йцукенгшщзх...,1
ВСІ ВИ ОДНАКОВІ! ЖЛОБИ!!!!,1
"Що робити, якщо пропустив іспит через хворобу?",0
Я вже кілька разів намагався вирішити це питання і щоразу мене відправляють далі,0
Тупняки і ще недоумки і ще провалюйтесь і ще бовдури! Зрозуміли?,1
На парі з правознавства викладач обговорює особисте життя студентів,0
Принтер у студентському центрі не працює вже третій день!,0
нічого нічого нічого нічого,1
НЕДОУМКИ І ЩЕ ПРОВАЛЮЙТЕСЬ!,1
Чи є можливість перевестися на заочну форму навчання?,0
"Прошу не ігнорувати мою скаргу, я вже зверталась до куратора і нічого не змінилось",0
"Викладач грубить студентам, які задають запитання під час лекції, прошу допомогти",0
"Скарга: у гуртожитку вже тиждень не працює опалення, дуже холодно",0
"підкажіть, як подати заяву на перескладання іспиту з вищої математики?",0
Мені відмовляють у академічній відпустці без пояснення підстав,0
Прошу розглянути скаргу на незаконне заселення сторонніх у гуртожиток,0
НІЧОГО ВИ МЕНІ НЕ ЗРОБИТЕ,1
Кретини і ще лузери! Зрозуміли?!!!,1
СПРОБУЙТЕ ТІЛЬКИ ЩОСЬ ЗРОБИТИ ПОБАЧИТЕ,1
"Wi-Fi у бібліотеці працює дуже повільно, неможливо користуватися навчальними ресурсами",0
Викладач з математики пояснює тему лише один раз і відмовляється повторювати,0
"Вибачте що турбую, але не знаю до кого ще звернутися з цим питанням",0
"Лектор читає лекції зі старих слайдів 2010 року, матеріал застарілий, будь ласка",0
Прошу розглянути: студентів виселяють з гуртожитку без попередження,0
"Як дізнатися результати іспиту, якщо їх досі не виставили в журнал?",0
"Я розчарований ставленням адміністрації до студентів, хочу подати офіційну скаргу, дякую",0
хочу подати скаргу: викладач з хімії принижує студентів перед аудиторією!,0
принтер у студентському центрі не працює вже третій день,0
хочу подати скаргу: викладач з хімії принижує студентів перед аудиторією,0
БЕЗДАРНОСТІ ТА БЕЗДАРИ...,1
Прошу розглянути скаргу на незаконне заселення сторонніх у гуртожиток,0
Де можна отримати студентський квиток?,0
"викладач з фізики ставить незадовільні оцінки без пояснень, це несправедливо",0
Адміністрація не відповідає на звернення щодо переведення на іншу спеціальність,0
Наш куратор ігнорує запитання на парах і говорить «самі розбирайтеся»!,0
"У бібліотеці немає потрібного підручника з бухгалтерського обліку, коли він надійде?",0
Нікчеми і ще олухи і ще безмозкі і ще дурні...!,1
"Викладач з економіки не пускає на іспит без особистого підпису куратора, якого немає, дякую!",0
ну ну ну ну ну ну,1
Де можна отримати студентський квиток?,0
ГА ГА ГА ГА ГА ГА ГА!!!,1
Тупі — я розберуся з вами,1
ну ок ок ок ну!!!,1
"НЕНАВИДЖУ ЦЕЙ КОЛЕДЖ, ІДІТЬ ВСІ ГЕТЬ",1
прошу розглянути: студентів виселяють з гуртожитку без попередження,0
ПРИДУРКИ І ЩЕ ДЕБІЛИ І ЩЕ КРЕТИНИ І ЩЕ ПРОВАЛЮЙТЕСЬ! ВСЕ!,1
Я вже кілька разів намагався вирішити це питання і щоразу мене відправляють далі,0
ГА ГА ГА ГА ГА ГА ГА,1
е е е це взагалі щось читає чи ні,1
"Я не можу зосередитися на навчанні через умови в гуртожитку, прошу допомогти",0
Прошу перевірити умови проживання в кімнаті 214 — там є плісень на стінах,0
"Розумію що у вас багато звернень, але моя ситуація дійсно потребує допомоги",0
На парі з правознавства викладач обговорює особисте життя студентів,0
ґячбефюомійойучрбнрбсццкюспвж,1
Де знаходиться студентська профспілка і як вона може допомогти?,0
"Коли починається запис на курсові роботи цього семестру?, дякую",0
"викладач з фізики ставить незадовільні оцінки без пояснень, це несправедливо",0
викладач з математики пояснює тему лише один раз і відмовляється повторювати,0
ааааа!,1
бла бла бла,1
прошу розглянути питання щодо неправомірного стягнення плати за навчання,0
"де подати заяву на підвищену стипендію?, будь ласка",0
